service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
CB:CBBO001:1:001MFJA25:O:1,1,1,1,1,1,0,0,20250124,20260124
CB:CBBO001:1:001MFJA25:O:2,1,1,1,1,1,0,0,20250124,20260124
CB:CBBO001:1:001MFJA25:O:3,1,1,1,1,1,0,0,20250124,20260124
CB:CBBO001:1:001MFJA25:O:4,1,1,1,1,1,0,0,20250124,20260124
CB:CBBO001:1:001MFJA25:O:5,1,1,1,1,1,0,0,20250124,20260124
CB:CBBO001:1:001MFJA25:O:6,1,1,1,1,1,0,0,20250124,20260124
CB:CBBO001:1:001MFJA25:O:7,1,1,1,1,1,0,0,20250124,20260124
CB:CBBO001:1:001MFJA25:O:8,1,1,1,1,1,0,0,20250124,20260124
CB:CBBO001:1:001MFJA25:O:9,1,1,1,1,1,0,0,20250124,20260124
CB:CBBO001:1:001MFJA25:O:10,1,1,1,1,1,0,0,20250124,20260124
CB:CBBO001A:1A:001MFJA25:O:11,1,1,1,1,1,0,0,20250124,20260124
CB:CBBO001A:1A:001MFJA25:O:12,1,1,1,1,1,0,0,20250124,20260124
CB:CBBO001A:1A:001MFJA25:O:13,1,1,1,1,1,0,0,20250124,20260124
CB:CBBO001:1:001MFJA25:O:14,1,1,1,1,1,0,0,20250124,20260124
CB:CBBO001A:1A:001MFJA25:O:15,1,1,1,1,1,0,0,20250124,20260124
CB:CBBO001:1:001MFJA25:O:16,1,1,1,1,1,0,0,20250124,20260124
CB:CBBO001:1:001MFJA25:O:17,1,1,1,1,1,0,0,20250124,20260124
CB:CBBO001:1:001MFJA25:O:18,1,1,1,1,1,0,0,20250124,20260124
CB:CBBO001:1:001SAJA25:O:1,0,0,0,0,0,1,0,20250124,20260124
CB:CBBO001:1:001SAJA25:O:2,0,0,0,0,0,1,0,20250124,20260124
CB:CBBO001:1:001SAJA25:O:3,0,0,0,0,0,1,0,20250124,20260124
CB:CBBO001:1:001SAJA25:O:4,0,0,0,0,0,1,0,20250124,20260124
CB:CBBO001:1:001SAJA25:O:5,0,0,0,0,0,1,0,20250124,20260124
CB:CBBO001:1:001SAJA25:O:6,0,0,0,0,0,1,0,20250124,20260124
CB:CBBO001:1:001SAJA25:O:7,0,0,0,0,0,1,0,20250124,20260124
CB:CBBO001:1:001SAJA25:O:8,0,0,0,0,0,1,0,20250124,20260124
CB:CBBO001:1:001SAJA25:O:9,0,0,0,0,0,1,0,20250124,20260124
CB:CBBO001:1:001SAJA25:O:10,0,0,0,0,0,1,0,20250124,20260124
CB:CBBO001:1:001SAJA25:O:11,0,0,0,0,0,1,0,20250124,20260124
CB:CBBO001:1:001SAJA25:O:12,0,0,0,0,0,1,0,20250124,20260124
CB:CBCO002A:2A:002MFJA25:O:1,1,1,1,1,1,0,0,20250124,20260124
CB:CBCO002:2:002MFJA25:O:2,1,1,1,1,1,0,0,20250124,20260124
CB:CBCO002:2:002MFJA25:O:3,1,1,1,1,1,0,0,20250124,20260124
CB:CBCO002A:2A:002MFJA25:O:4,1,1,1,1,1,0,0,20250124,20260124
CB:CBCO002:2:002MFJA25:O:5,1,1,1,1,1,0,0,20250124,20260124
CB:CBCO002A:2A:002MFJA25:O:6,1,1,1,1,1,0,0,20250124,20260124
CB:CBCO002:2:002MFJA25:O:7,1,1,1,1,1,0,0,20250124,20260124
CB:CBCO002A:2A:002MFJA25:O:8,1,1,1,1,1,0,0,20250124,20260124
CB:CBCO002:2:002MFJA25:O:9,1,1,1,1,1,0,0,20250124,20260124
CB:CBCO002:2:002MFJA25:O:10,1,1,1,1,1,0,0,20250124,20260124
CB:CBCO002:2:002MFJA25:O:11,1,1,1,1,1,0,0,20250124,20260124
CB:CBCO002:2:002MFJA25:O:12,1,1,1,1,1,0,0,20250124,20260124
CB:CBCO002:2:002MFJA25:O:13,1,1,1,1,1,0,0,20250124,20260124
CB:CBCO002:2:002MFJA25:O:14,1,1,1,1,1,0,0,20250124,20260124
CB:CBCO002:2:002MFJA25:O:15,1,1,1,1,1,0,0,20250124,20260124
CB:CBCO002:2:002MFJA25:O:16,1,1,1,1,1,0,0,20250124,20260124
CB:CBCO002:2:002MFJA25:O:17,1,1,1,1,1,0,0,20250124,20260124
CB:CBCO002:2:002MFJA25:O:18,1,1,1,1,1,0,0,20250124,20260124
CB:CBCO002:2:002MFJA25:O:19,1,1,1,1,1,0,0,20250124,20260124
CB:CBCO002:2:002MFJA25:O:20,1,1,1,1,1,0,0,20250124,20260124
CB:CBCO002:2:002SAJA25:O:1,0,0,0,0,0,1,0,20250124,20260124
CB:CBCO002:2:002SAJA25:O:2,0,0,0,0,0,1,0,20250124,20260124
CB:CBCO002:2:002SAJA25:O:3,0,0,0,0,0,1,0,20250124,20260124
CB:CBCO002:2:002SAJA25:O:4,0,0,0,0,0,1,0,20250124,20260124
CB:CBCO002:2:002SAJA25:O:5,0,0,0,0,0,1,0,20250124,20260124
CB:CBCO002:2:002SAJA25:O:6,0,0,0,0,0,1,0,20250124,20260124
CB:CBCO002:2:002SAJA25:O:7,0,0,0,0,0,1,0,20250124,20260124
CB:CBCO002:2:002SAJA25:O:8,0,0,0,0,0,1,0,20250124,20260124
CB:CBCO002:2:002SAJA25:O:9,0,0,0,0,0,1,0,20250124,20260124
CB:CBCO002:2:002SAJA25:O:10,0,0,0,0,0,1,0,20250124,20260124
CB:CBCO002:2:002SAJA25:O:11,0,0,0,0,0,1,0,20250124,20260124
CB:CBAO004:4:004MFJA25:O:1,1,1,1,1,1,0,0,20250124,20260124
CB:CBAO004:4:004MFJA25:O:2,1,1,1,1,1,0,0,20250124,20260124
CB:CBAO004:4:004MFJA25:O:3,1,1,1,1,1,0,0,20250124,20260124
CB:CBAO004:4:004MFJA25:O:4,1,1,1,1,1,0,0,20250124,20260124
CB:CBAO004:4:004MFJA25:O:5,1,1,1,1,1,0,0,20250124,20260124
CB:CBAO004:4:004MFJA25:O:6,1,1,1,1,1,0,0,20250124,20260124
CB:CBAO004:4:004MFJA25:O:7,1,1,1,1,1,0,0,20250124,20260124
CB:CBAO004:4:004MFJA25:O:8,1,1,1,1,1,0,0,20250124,20260124
CB:CBAO004:4:004MFJA25:O:9,1,1,1,1,1,0,0,20250124,20260124
CB:CBAO004:4:004MFJA25:O:10,1,1,1,1,1,0,0,20250124,20260124
CB:CBAO004:4:004MFJA25:O:11,1,1,1,1,1,0,0,20250124,20260124
CB:CBAO004:4:004MFJA25:O:12,1,1,1,1,1,0,0,20250124,20260124
CB:CBAO004:4:004MFJA25:I:1,1,1,1,1,1,0,0,20250124,20260124
CB:CBAO004:4:004MFJA25:I:2,1,1,1,1,1,0,0,20250124,20260124
CB:CBAO004:4:004MFJA25:I:3,1,1,1,1,1,0,0,20250124,20260124
CB:CBAO004:4:004MFJA25:I:4,1,1,1,1,1,0,0,20250124,20260124
CB:CBAO004:4:004MFJA25:I:5,1,1,1,1,1,0,0,20250124,20260124
CB:CBAO004:4:004MFJA25:I:6,1,1,1,1,1,0,0,20250124,20260124
CB:CBAO004:4:004MFJA25:I:7,1,1,1,1,1,0,0,20250124,20260124
CB:CBAO004:4:004MFJA25:I:8,1,1,1,1,1,0,0,20250124,20260124
CB:CBAO004:4:004MFJA25:I:9,1,1,1,1,1,0,0,20250124,20260124
CB:CBAO004:4:004MFJA25:I:10,1,1,1,1,1,0,0,20250124,20260124
CB:CBAO004:4:004MFJA25:I:11,1,1,1,1,1,0,0,20250124,20260124
CB:CBAO004:4:004SAJA25:O:1,0,0,0,0,0,1,0,20250124,20260124
CB:CBAO004:4:004SAJA25:O:2,0,0,0,0,0,1,0,20250124,20260124
CB:CBAO004:4:004SAJA25:O:3,0,0,0,0,0,1,0,20250124,20260124
CB:CBAO004:4:004SAJA25:O:4,0,0,0,0,0,1,0,20250124,20260124
CB:CBAO004:4:004SAJA25:O:5,0,0,0,0,0,1,0,20250124,20260124
CB:CBAO004:4:004SAJA25:O:6,0,0,0,0,0,1,0,20250124,20260124
CB:CBAO004:4:004SAJA25:O:7,0,0,0,0,0,1,0,20250124,20260124
CB:CBAO004:4:004SAJA25:O:8,0,0,0,0,0,1,0,20250124,20260124
CB:CBAO004:4:004SAJA25:O:9,0,0,0,0,0,1,0,20250124,20260124
CB:CBAO004:4:004SAJA25:O:10,0,0,0,0,0,1,0,20250124,20260124
CB:CBAO004:4:004SAJA25:O:11,0,0,0,0,0,1,0,20250124,20260124
CB:CBAO004:4:004SAJA25:O:12,0,0,0,0,0,1,0,20250124,20260124
CB:CBAO004:4:004SAJA25:O:13,0,0,0,0,0,1,0,20250124,20260124
CB:CBAO004:4:004SAJA25:I:1,0,0,0,0,0,1,0,20250124,20260124
CB:CBAO004:4:004SAJA25:I:2,0,0,0,0,0,1,0,20250124,20260124
CB:CBAO004:4:004SAJA25:I:3,0,0,0,0,0,1,0,20250124,20260124
CB:CBAO004:4:004SAJA25:I:4,0,0,0,0,0,1,0,20250124,20260124
CB:CBAO004:4:004SAJA25:I:5,0,0,0,0,0,1,0,20250124,20260124
CB:CBAO004:4:004SAJA25:I:6,0,0,0,0,0,1,0,20250124,20260124
CB:CBAO004:4:004SAJA25:I:7,0,0,0,0,0,1,0,20250124,20260124
CB:CBAO004:4:004SAJA25:I:8,0,0,0,0,0,1,0,20250124,20260124
CB:CBAO004:4:004SAJA25:I:9,0,0,0,0,0,1,0,20250124,20260124
CB:CBAO004:4:004SAJA25:I:10,0,0,0,0,0,1,0,20250124,20260124
CB:CBAO004:4:004SAJA25:I:11,0,0,0,0,0,1,0,20250124,20260124
CB:CBAO004:4:004SAJA25:I:12,0,0,0,0,0,1,0,20250124,20260124
CB:CBAO004:4:004SAJA25:I:13,0,0,0,0,0,1,0,20250124,20260124
CB:CBAO004:4:004SUJA25:O:1,0,0,0,0,0,0,1,20250124,20260124
CB:CBAO004:4:004SUJA25:O:2,0,0,0,0,0,0,1,20250124,20260124
CB:CBAO004:4:004SUJA25:O:3,0,0,0,0,0,0,1,20250124,20260124
CB:CBAO004:4:004SUJA25:O:4,0,0,0,0,0,0,1,20250124,20260124
CB:CBAO004:4:004SUJA25:O:5,0,0,0,0,0,0,1,20250124,20260124
CB:CBAO004:4:004SUJA25:O:6,0,0,0,0,0,0,1,20250124,20260124
CB:CBAO004:4:004SUJA25:O:7,0,0,0,0,0,0,1,20250124,20260124
CB:CBAO004:4:004SUJA25:O:8,0,0,0,0,0,0,1,20250124,20260124
CB:CBAO004:4:004SUJA25:O:9,0,0,0,0,0,0,1,20250124,20260124
CB:CBAO004:4:004SUJA25:O:10,0,0,0,0,0,0,1,20250124,20260124
CB:CBAO004:4:004SUJA25:O:11,0,0,0,0,0,0,1,20250124,20260124
CB:CBAO004:4:004SUJA25:O:12,0,0,0,0,0,0,1,20250124,20260124
CB:CBAO004:4:004SUJA25:O:13,0,0,0,0,0,0,1,20250124,20260124
