service_id,date,exception_type
CB:CBBO001:1:001MFJA25:O:1,20250421,2
CB:CBBO001:1:001MFJA25:O:1,20250505,2
CB:CBBO001:1:001MFJA25:O:1,20250825,2
CB:CBBO001:1:001MFJA25:O:1,20251225,2
CB:CBBO001:1:001MFJA25:O:1,20251226,2
CB:CBBO001:1:001MFJA25:O:1,20260101,2
CB:CBBO001:1:001MFJA25:O:2,20250421,2
CB:CBBO001:1:001MFJA25:O:2,20250505,2
CB:CBBO001:1:001MFJA25:O:2,20250825,2
CB:CBBO001:1:001MFJA25:O:2,20251225,2
CB:CBBO001:1:001MFJA25:O:2,20251226,2
CB:CBBO001:1:001MFJA25:O:2,20260101,2
CB:CBBO001:1:001MFJA25:O:3,20250421,2
CB:CBBO001:1:001MFJA25:O:3,20250505,2
CB:CBBO001:1:001MFJA25:O:3,20250825,2
CB:CBBO001:1:001MFJA25:O:3,20251225,2
CB:CBBO001:1:001MFJA25:O:3,20251226,2
CB:CBBO001:1:001MFJA25:O:3,20260101,2
CB:CBBO001:1:001MFJA25:O:4,20250421,2
CB:CBBO001:1:001MFJA25:O:4,20250505,2
CB:CBBO001:1:001MFJA25:O:4,20250825,2
CB:CBBO001:1:001MFJA25:O:4,20251225,2
CB:CBBO001:1:001MFJA25:O:4,20251226,2
CB:CBBO001:1:001MFJA25:O:4,20260101,2
CB:CBBO001:1:001MFJA25:O:5,20250421,2
CB:CBBO001:1:001MFJA25:O:5,20250505,2
CB:CBBO001:1:001MFJA25:O:5,20250825,2
CB:CBBO001:1:001MFJA25:O:5,20251225,2
CB:CBBO001:1:001MFJA25:O:5,20251226,2
CB:CBBO001:1:001MFJA25:O:5,20260101,2
CB:CBBO001:1:001MFJA25:O:6,20250421,2
CB:CBBO001:1:001MFJA25:O:6,20250505,2
CB:CBBO001:1:001MFJA25:O:6,20250825,2
CB:CBBO001:1:001MFJA25:O:6,20251225,2
CB:CBBO001:1:001MFJA25:O:6,20251226,2
CB:CBBO001:1:001MFJA25:O:6,20260101,2
CB:CBBO001:1:001MFJA25:O:7,20250421,2
CB:CBBO001:1:001MFJA25:O:7,20250505,2
CB:CBBO001:1:001MFJA25:O:7,20250825,2
CB:CBBO001:1:001MFJA25:O:7,20251225,2
CB:CBBO001:1:001MFJA25:O:7,20251226,2
CB:CBBO001:1:001MFJA25:O:7,20260101,2
CB:CBBO001:1:001MFJA25:O:8,20250421,2
CB:CBBO001:1:001MFJA25:O:8,20250505,2
CB:CBBO001:1:001MFJA25:O:8,20250825,2
CB:CBBO001:1:001MFJA25:O:8,20251225,2
CB:CBBO001:1:001MFJA25:O:8,20251226,2
CB:CBBO001:1:001MFJA25:O:8,20260101,2
CB:CBBO001:1:001MFJA25:O:9,20250421,2
CB:CBBO001:1:001MFJA25:O:9,20250505,2
CB:CBBO001:1:001MFJA25:O:9,20250825,2
CB:CBBO001:1:001MFJA25:O:9,20251225,2
CB:CBBO001:1:001MFJA25:O:9,20251226,2
CB:CBBO001:1:001MFJA25:O:9,20260101,2
CB:CBBO001:1:001MFJA25:O:10,20250421,2
CB:CBBO001:1:001MFJA25:O:10,20250505,2
CB:CBBO001:1:001MFJA25:O:10,20250825,2
CB:CBBO001:1:001MFJA25:O:10,20251225,2
CB:CBBO001:1:001MFJA25:O:10,20251226,2
CB:CBBO001:1:001MFJA25:O:10,20260101,2
CB:CBBO001A:1A:001MFJA25:O:11,20250421,2
CB:CBBO001A:1A:001MFJA25:O:11,20250505,2
CB:CBBO001A:1A:001MFJA25:O:11,20250825,2
CB:CBBO001A:1A:001MFJA25:O:11,20251225,2
CB:CBBO001A:1A:001MFJA25:O:11,20251226,2
CB:CBBO001A:1A:001MFJA25:O:11,20260101,2
CB:CBBO001A:1A:001MFJA25:O:12,20250421,2
CB:CBBO001A:1A:001MFJA25:O:12,20250505,2
CB:CBBO001A:1A:001MFJA25:O:12,20250825,2
CB:CBBO001A:1A:001MFJA25:O:12,20251225,2
CB:CBBO001A:1A:001MFJA25:O:12,20251226,2
CB:CBBO001A:1A:001MFJA25:O:12,20260101,2
CB:CBBO001A:1A:001MFJA25:O:13,20250421,2
CB:CBBO001A:1A:001MFJA25:O:13,20250505,2
CB:CBBO001A:1A:001MFJA25:O:13,20250825,2
CB:CBBO001A:1A:001MFJA25:O:13,20251225,2
CB:CBBO001A:1A:001MFJA25:O:13,20251226,2
CB:CBBO001A:1A:001MFJA25:O:13,20260101,2
CB:CBBO001:1:001MFJA25:O:14,20250421,2
CB:CBBO001:1:001MFJA25:O:14,20250505,2
CB:CBBO001:1:001MFJA25:O:14,20250825,2
CB:CBBO001:1:001MFJA25:O:14,20251225,2
CB:CBBO001:1:001MFJA25:O:14,20251226,2
CB:CBBO001:1:001MFJA25:O:14,20260101,2
CB:CBBO001A:1A:001MFJA25:O:15,20250421,2
CB:CBBO001A:1A:001MFJA25:O:15,20250505,2
CB:CBBO001A:1A:001MFJA25:O:15,20250825,2
CB:CBBO001A:1A:001MFJA25:O:15,20251225,2
CB:CBBO001A:1A:001MFJA25:O:15,20251226,2
CB:CBBO001A:1A:001MFJA25:O:15,20260101,2
CB:CBBO001:1:001MFJA25:O:16,20250421,2
CB:CBBO001:1:001MFJA25:O:16,20250505,2
CB:CBBO001:1:001MFJA25:O:16,20250825,2
CB:CBBO001:1:001MFJA25:O:16,20251225,2
CB:CBBO001:1:001MFJA25:O:16,20251226,2
CB:CBBO001:1:001MFJA25:O:16,20260101,2
CB:CBBO001:1:001MFJA25:O:17,20250421,2
CB:CBBO001:1:001MFJA25:O:17,20250505,2
CB:CBBO001:1:001MFJA25:O:17,20250825,2
CB:CBBO001:1:001MFJA25:O:17,20251225,2
CB:CBBO001:1:001MFJA25:O:17,20251226,2
CB:CBBO001:1:001MFJA25:O:17,20260101,2
CB:CBBO001:1:001MFJA25:O:18,20250421,2
CB:CBBO001:1:001MFJA25:O:18,20250505,2
CB:CBBO001:1:001MFJA25:O:18,20250825,2
CB:CBBO001:1:001MFJA25:O:18,20251225,2
CB:CBBO001:1:001MFJA25:O:18,20251226,2
CB:CBBO001:1:001MFJA25:O:18,20260101,2
CB:CBBO001:1:001SAJA25:O:1,20250421,2
CB:CBBO001:1:001SAJA25:O:1,20250505,2
CB:CBBO001:1:001SAJA25:O:1,20250526,2
CB:CBBO001:1:001SAJA25:O:1,20250825,2
CB:CBBO001:1:001SAJA25:O:2,20250421,2
CB:CBBO001:1:001SAJA25:O:2,20250505,2
CB:CBBO001:1:001SAJA25:O:2,20250526,2
CB:CBBO001:1:001SAJA25:O:2,20250825,2
CB:CBBO001:1:001SAJA25:O:3,20250421,2
CB:CBBO001:1:001SAJA25:O:3,20250505,2
CB:CBBO001:1:001SAJA25:O:3,20250526,2
CB:CBBO001:1:001SAJA25:O:3,20250825,2
CB:CBBO001:1:001SAJA25:O:4,20250421,2
CB:CBBO001:1:001SAJA25:O:4,20250505,2
CB:CBBO001:1:001SAJA25:O:4,20250526,2
CB:CBBO001:1:001SAJA25:O:4,20250825,2
CB:CBBO001:1:001SAJA25:O:5,20250421,2
CB:CBBO001:1:001SAJA25:O:5,20250505,2
CB:CBBO001:1:001SAJA25:O:5,20250526,2
CB:CBBO001:1:001SAJA25:O:5,20250825,2
CB:CBBO001:1:001SAJA25:O:6,20250421,2
CB:CBBO001:1:001SAJA25:O:6,20250505,2
CB:CBBO001:1:001SAJA25:O:6,20250526,2
CB:CBBO001:1:001SAJA25:O:6,20250825,2
CB:CBBO001:1:001SAJA25:O:7,20250421,2
CB:CBBO001:1:001SAJA25:O:7,20250505,2
CB:CBBO001:1:001SAJA25:O:7,20250526,2
CB:CBBO001:1:001SAJA25:O:7,20250825,2
CB:CBBO001:1:001SAJA25:O:8,20250421,2
CB:CBBO001:1:001SAJA25:O:8,20250505,2
CB:CBBO001:1:001SAJA25:O:8,20250526,2
CB:CBBO001:1:001SAJA25:O:8,20250825,2
CB:CBBO001:1:001SAJA25:O:9,20250421,2
CB:CBBO001:1:001SAJA25:O:9,20250505,2
CB:CBBO001:1:001SAJA25:O:9,20250526,2
CB:CBBO001:1:001SAJA25:O:9,20250825,2
CB:CBBO001:1:001SAJA25:O:10,20250421,2
CB:CBBO001:1:001SAJA25:O:10,20250505,2
CB:CBBO001:1:001SAJA25:O:10,20250526,2
CB:CBBO001:1:001SAJA25:O:10,20250825,2
CB:CBBO001:1:001SAJA25:O:11,20250421,2
CB:CBBO001:1:001SAJA25:O:11,20250505,2
CB:CBBO001:1:001SAJA25:O:11,20250526,2
CB:CBBO001:1:001SAJA25:O:11,20250825,2
CB:CBBO001:1:001SAJA25:O:12,20250421,2
CB:CBBO001:1:001SAJA25:O:12,20250505,2
CB:CBBO001:1:001SAJA25:O:12,20250526,2
CB:CBBO001:1:001SAJA25:O:12,20250825,2
CB:CBCO002A:2A:002MFJA25:O:1,20250421,2
CB:CBCO002A:2A:002MFJA25:O:1,20250505,2
CB:CBCO002A:2A:002MFJA25:O:1,20250825,2
CB:CBCO002A:2A:002MFJA25:O:1,20251225,2
CB:CBCO002A:2A:002MFJA25:O:1,20251226,2
CB:CBCO002A:2A:002MFJA25:O:1,20260101,2
CB:CBCO002:2:002MFJA25:O:2,20250421,2
CB:CBCO002:2:002MFJA25:O:2,20250505,2
CB:CBCO002:2:002MFJA25:O:2,20250825,2
CB:CBCO002:2:002MFJA25:O:2,20251225,2
CB:CBCO002:2:002MFJA25:O:2,20251226,2
CB:CBCO002:2:002MFJA25:O:2,20260101,2
CB:CBCO002:2:002MFJA25:O:3,20250421,2
CB:CBCO002:2:002MFJA25:O:3,20250505,2
CB:CBCO002:2:002MFJA25:O:3,20250825,2
CB:CBCO002:2:002MFJA25:O:3,20251225,2
CB:CBCO002:2:002MFJA25:O:3,20251226,2
CB:CBCO002:2:002MFJA25:O:3,20260101,2
CB:CBCO002A:2A:002MFJA25:O:4,20250421,2
CB:CBCO002A:2A:002MFJA25:O:4,20250505,2
CB:CBCO002A:2A:002MFJA25:O:4,20250825,2
CB:CBCO002A:2A:002MFJA25:O:4,20251225,2
CB:CBCO002A:2A:002MFJA25:O:4,20251226,2
CB:CBCO002A:2A:002MFJA25:O:4,20260101,2
CB:CBCO002:2:002MFJA25:O:5,20250421,2
CB:CBCO002:2:002MFJA25:O:5,20250505,2
CB:CBCO002:2:002MFJA25:O:5,20250825,2
CB:CBCO002:2:002MFJA25:O:5,20251225,2
CB:CBCO002:2:002MFJA25:O:5,20251226,2
CB:CBCO002:2:002MFJA25:O:5,20260101,2
CB:CBCO002A:2A:002MFJA25:O:6,20250421,2
CB:CBCO002A:2A:002MFJA25:O:6,20250505,2
CB:CBCO002A:2A:002MFJA25:O:6,20250825,2
CB:CBCO002A:2A:002MFJA25:O:6,20251225,2
CB:CBCO002A:2A:002MFJA25:O:6,20251226,2
CB:CBCO002A:2A:002MFJA25:O:6,20260101,2
CB:CBCO002:2:002MFJA25:O:7,20250421,2
CB:CBCO002:2:002MFJA25:O:7,20250505,2
CB:CBCO002:2:002MFJA25:O:7,20250825,2
CB:CBCO002:2:002MFJA25:O:7,20251225,2
CB:CBCO002:2:002MFJA25:O:7,20251226,2
CB:CBCO002:2:002MFJA25:O:7,20260101,2
CB:CBCO002A:2A:002MFJA25:O:8,20250421,2
CB:CBCO002A:2A:002MFJA25:O:8,20250505,2
CB:CBCO002A:2A:002MFJA25:O:8,20250825,2
CB:CBCO002A:2A:002MFJA25:O:8,20251225,2
CB:CBCO002A:2A:002MFJA25:O:8,20251226,2
CB:CBCO002A:2A:002MFJA25:O:8,20260101,2
CB:CBCO002:2:002MFJA25:O:9,20250421,2
CB:CBCO002:2:002MFJA25:O:9,20250505,2
CB:CBCO002:2:002MFJA25:O:9,20250825,2
CB:CBCO002:2:002MFJA25:O:9,20251225,2
CB:CBCO002:2:002MFJA25:O:9,20251226,2
CB:CBCO002:2:002MFJA25:O:9,20260101,2
CB:CBCO002:2:002MFJA25:O:10,20250421,2
CB:CBCO002:2:002MFJA25:O:10,20250505,2
CB:CBCO002:2:002MFJA25:O:10,20250825,2
CB:CBCO002:2:002MFJA25:O:10,20251225,2
CB:CBCO002:2:002MFJA25:O:10,20251226,2
CB:CBCO002:2:002MFJA25:O:10,20260101,2
CB:CBCO002:2:002MFJA25:O:11,20250421,2
CB:CBCO002:2:002MFJA25:O:11,20250505,2
CB:CBCO002:2:002MFJA25:O:11,20250825,2
CB:CBCO002:2:002MFJA25:O:11,20251225,2
CB:CBCO002:2:002MFJA25:O:11,20251226,2
CB:CBCO002:2:002MFJA25:O:11,20260101,2
CB:CBCO002:2:002MFJA25:O:12,20250421,2
CB:CBCO002:2:002MFJA25:O:12,20250505,2
CB:CBCO002:2:002MFJA25:O:12,20250825,2
CB:CBCO002:2:002MFJA25:O:12,20251225,2
CB:CBCO002:2:002MFJA25:O:12,20251226,2
CB:CBCO002:2:002MFJA25:O:12,20260101,2
CB:CBCO002:2:002MFJA25:O:13,20250421,2
CB:CBCO002:2:002MFJA25:O:13,20250505,2
CB:CBCO002:2:002MFJA25:O:13,20250825,2
CB:CBCO002:2:002MFJA25:O:13,20251225,2
CB:CBCO002:2:002MFJA25:O:13,20251226,2
CB:CBCO002:2:002MFJA25:O:13,20260101,2
CB:CBCO002:2:002MFJA25:O:14,20250421,2
CB:CBCO002:2:002MFJA25:O:14,20250505,2
CB:CBCO002:2:002MFJA25:O:14,20250825,2
CB:CBCO002:2:002MFJA25:O:14,20251225,2
CB:CBCO002:2:002MFJA25:O:14,20251226,2
CB:CBCO002:2:002MFJA25:O:14,20260101,2
CB:CBCO002:2:002MFJA25:O:15,20250421,2
CB:CBCO002:2:002MFJA25:O:15,20250505,2
CB:CBCO002:2:002MFJA25:O:15,20250825,2
CB:CBCO002:2:002MFJA25:O:15,20251225,2
CB:CBCO002:2:002MFJA25:O:15,20251226,2
CB:CBCO002:2:002MFJA25:O:15,20260101,2
CB:CBCO002:2:002MFJA25:O:16,20250421,2
CB:CBCO002:2:002MFJA25:O:16,20250505,2
CB:CBCO002:2:002MFJA25:O:16,20250825,2
CB:CBCO002:2:002MFJA25:O:16,20251225,2
CB:CBCO002:2:002MFJA25:O:16,20251226,2
CB:CBCO002:2:002MFJA25:O:16,20260101,2
CB:CBCO002:2:002MFJA25:O:17,20250421,2
CB:CBCO002:2:002MFJA25:O:17,20250505,2
CB:CBCO002:2:002MFJA25:O:17,20250825,2
CB:CBCO002:2:002MFJA25:O:17,20251225,2
CB:CBCO002:2:002MFJA25:O:17,20251226,2
CB:CBCO002:2:002MFJA25:O:17,20260101,2
CB:CBCO002:2:002MFJA25:O:18,20250421,2
CB:CBCO002:2:002MFJA25:O:18,20250505,2
CB:CBCO002:2:002MFJA25:O:18,20250825,2
CB:CBCO002:2:002MFJA25:O:18,20251225,2
CB:CBCO002:2:002MFJA25:O:18,20251226,2
CB:CBCO002:2:002MFJA25:O:18,20260101,2
CB:CBCO002:2:002MFJA25:O:19,20250421,2
CB:CBCO002:2:002MFJA25:O:19,20250505,2
CB:CBCO002:2:002MFJA25:O:19,20250825,2
CB:CBCO002:2:002MFJA25:O:19,20251225,2
CB:CBCO002:2:002MFJA25:O:19,20251226,2
CB:CBCO002:2:002MFJA25:O:19,20260101,2
CB:CBCO002:2:002MFJA25:O:20,20250421,2
CB:CBCO002:2:002MFJA25:O:20,20250505,2
CB:CBCO002:2:002MFJA25:O:20,20250825,2
CB:CBCO002:2:002MFJA25:O:20,20251225,2
CB:CBCO002:2:002MFJA25:O:20,20251226,2
CB:CBCO002:2:002MFJA25:O:20,20260101,2
CB:CBCO002:2:002SAJA25:O:1,20250421,2
CB:CBCO002:2:002SAJA25:O:1,20250505,2
CB:CBCO002:2:002SAJA25:O:1,20250526,2
CB:CBCO002:2:002SAJA25:O:1,20250825,2
CB:CBCO002:2:002SAJA25:O:2,20250421,2
CB:CBCO002:2:002SAJA25:O:2,20250505,2
CB:CBCO002:2:002SAJA25:O:2,20250526,2
CB:CBCO002:2:002SAJA25:O:2,20250825,2
CB:CBCO002:2:002SAJA25:O:3,20250421,2
CB:CBCO002:2:002SAJA25:O:3,20250505,2
CB:CBCO002:2:002SAJA25:O:3,20250526,2
CB:CBCO002:2:002SAJA25:O:3,20250825,2
CB:CBCO002:2:002SAJA25:O:4,20250421,2
CB:CBCO002:2:002SAJA25:O:4,20250505,2
CB:CBCO002:2:002SAJA25:O:4,20250526,2
CB:CBCO002:2:002SAJA25:O:4,20250825,2
CB:CBCO002:2:002SAJA25:O:5,20250421,2
CB:CBCO002:2:002SAJA25:O:5,20250505,2
CB:CBCO002:2:002SAJA25:O:5,20250526,2
CB:CBCO002:2:002SAJA25:O:5,20250825,2
CB:CBCO002:2:002SAJA25:O:6,20250421,2
CB:CBCO002:2:002SAJA25:O:6,20250505,2
CB:CBCO002:2:002SAJA25:O:6,20250526,2
CB:CBCO002:2:002SAJA25:O:6,20250825,2
CB:CBCO002:2:002SAJA25:O:7,20250421,2
CB:CBCO002:2:002SAJA25:O:7,20250505,2
CB:CBCO002:2:002SAJA25:O:7,20250526,2
CB:CBCO002:2:002SAJA25:O:7,20250825,2
CB:CBCO002:2:002SAJA25:O:8,20250421,2
CB:CBCO002:2:002SAJA25:O:8,20250505,2
CB:CBCO002:2:002SAJA25:O:8,20250526,2
CB:CBCO002:2:002SAJA25:O:8,20250825,2
CB:CBCO002:2:002SAJA25:O:9,20250421,2
CB:CBCO002:2:002SAJA25:O:9,20250505,2
CB:CBCO002:2:002SAJA25:O:9,20250526,2
CB:CBCO002:2:002SAJA25:O:9,20250825,2
CB:CBCO002:2:002SAJA25:O:10,20250421,2
CB:CBCO002:2:002SAJA25:O:10,20250505,2
CB:CBCO002:2:002SAJA25:O:10,20250526,2
CB:CBCO002:2:002SAJA25:O:10,20250825,2
CB:CBCO002:2:002SAJA25:O:11,20250421,2
CB:CBCO002:2:002SAJA25:O:11,20250505,2
CB:CBCO002:2:002SAJA25:O:11,20250526,2
CB:CBCO002:2:002SAJA25:O:11,20250825,2
CB:CBAO004:4:004MFJA25:O:1,20250421,2
CB:CBAO004:4:004MFJA25:O:1,20250505,2
CB:CBAO004:4:004MFJA25:O:1,20250825,2
CB:CBAO004:4:004MFJA25:O:1,20251225,2
CB:CBAO004:4:004MFJA25:O:1,20251226,2
CB:CBAO004:4:004MFJA25:O:1,20260101,2
CB:CBAO004:4:004MFJA25:O:2,20250421,2
CB:CBAO004:4:004MFJA25:O:2,20250505,2
CB:CBAO004:4:004MFJA25:O:2,20250825,2
CB:CBAO004:4:004MFJA25:O:2,20251225,2
CB:CBAO004:4:004MFJA25:O:2,20251226,2
CB:CBAO004:4:004MFJA25:O:2,20260101,2
CB:CBAO004:4:004MFJA25:O:3,20250421,2
CB:CBAO004:4:004MFJA25:O:3,20250505,2
CB:CBAO004:4:004MFJA25:O:3,20250825,2
CB:CBAO004:4:004MFJA25:O:3,20251225,2
CB:CBAO004:4:004MFJA25:O:3,20251226,2
CB:CBAO004:4:004MFJA25:O:3,20260101,2
CB:CBAO004:4:004MFJA25:O:4,20250421,2
CB:CBAO004:4:004MFJA25:O:4,20250505,2
CB:CBAO004:4:004MFJA25:O:4,20250825,2
CB:CBAO004:4:004MFJA25:O:4,20251225,2
CB:CBAO004:4:004MFJA25:O:4,20251226,2
CB:CBAO004:4:004MFJA25:O:4,20260101,2
CB:CBAO004:4:004MFJA25:O:5,20250421,2
CB:CBAO004:4:004MFJA25:O:5,20250505,2
CB:CBAO004:4:004MFJA25:O:5,20250825,2
