stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
5710AWA10152,,"Abergele Road",,51.5181909,-3.107866827,,,,,,
5710AWA10197,,"Abergele Road",,51.518128862,-3.112520553,,,,,,
5710AWA10198,,"Abergele Road",,51.517878516,-3.112370327,,,,,,
5710AWA11154,,"Aberporth Road",,51.50448163,-3.219010745,,,,,,
5710AWA11160,,"Aberporth Road",,51.501962553,-3.206970881,,,,,,
5720WDB47297,,"Adams Funeral Home",,51.403383481,-3.274890128,,,,,,
5710AWA10817,,"Adamsdown Square",,51.481926216,-3.162106635,,,,,,
5720VGA02598,,"Adar y mor",,51.393012572,-3.269369873,,,,,,
5710AWA11642,,"Adelaide Street",,51.464024719,-3.168495342,,,,,,
5710AWA11643,,"Adelaide Street",,51.463815318,-3.168502228,,,,,,
5710AWA11188,,"Ael y Bryn",,51.524358145,-3.26027724,,,,,,
5710AWA11189,,"Ael y Bryn",,51.524403561,-3.260033878,,,,,,
5710AWA10279,,"Ael y Bryn",,51.509464185,-3.158593627,,,,,,
5710AWA10278,,"Ael y Bryn",,51.509430077,-3.158405435,,,,,,
5720AWA11796,,"Aeron Close",,51.406069735,-3.286624933,,,,,,
5720WDB48423,,"Albert Road",,51.439100026,-3.173299998,,,,,,
5720AWA11987,,"Albert Road",,51.439749518,-3.172194536,,,,,,
5720WDB48422,,"Albert Road",,51.439452925,-3.173078983,,,,,,
5720AWA11986,,"Albert Road",,51.439546639,-3.17180087,,,,,,
5710AWA11469,,"Albert Street",,51.481511218,-3.200324724,,,,,,
5710AWA11468,,"Albert Street",,51.48137328,-3.199745062,,,,,,
5720CBX02464,,"Alberta Road",,51.42943936,-3.171829912,,,,,,
5710AWA10546,,"Alder Road",,51.499244967,-3.170810512,,,,,,
5710AWA10334,,Aldi,,51.529187137,-3.151814254,,,,,,
5710AWA10333,,Aldi,,51.529311151,-3.152004793,,,,,,
5720AWA11849,,"Alexandra Gardens",,51.404609979,-3.283622301,,,,,,
5720AWA11850,,"Alexandra Gardens",,51.404932792,-3.282883734,,,,,,
5710AWA10253,,"Alfred Street",,51.493681877,-3.167815789,,,,,,
5720AWA11806,,"All Saints",,51.398457618,-3.288696917,,,,,,
5720AWA10727,,Alps,,51.458271743,-3.26653067,,,,,,
5720AWA11800,,"Alwen Drive",,51.408349608,-3.293532935,,,,,,
5710AWA10632,,"Amesbury Road",,51.496581852,-3.156466167,,,,,,
5710AWA11611,,"Amherst Street",,51.463150886,-3.181618448,,,,,,
5710AWA11569,,"Amroth Road",,51.478141057,-3.242442624,,,,,,
5710AWA11515,,"Amroth Road",,51.477985049,-3.241041587,,,,,,
5720AWA11699,,"Andover Close",,51.416529019,-3.294655464,,,,,,
5720AWA12389,,"Andrew Road",,51.444992669,-3.193495802,,,,,,
5720AWA12388,,"Andrew Road",,51.445151936,-3.192866814,,,,,,
5710AWA10910,,"Angle Place",,51.532723542,-3.199984776,,,,,,
5710AWA10909,,"Angle Place",,51.532477877,-3.200266657,,,,,,
