route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
CB:CBBO001:1,CB:CBBO001:1:001MFJA25:O:1,CB:CBBO001:1:001MFJA25:O:1,"City Centre",,1,C02,CBBO001-1,,
CB:CBBO001:1,CB:CBBO001:1:001MFJA25:O:2,CB:CBBO001:1:001MFJA25:O:2,"City Centre",,1,W33,CBBO001-2,,
CB:CBBO001:1,CB:CBBO001:1:001MFJA25:O:3,CB:CBBO001:1:001MFJA25:O:3,"City Centre",,1,X13,CBBO001-1,,
CB:CBBO001:1,CB:CBBO001:1:001MFJA25:O:4,CB:CBBO001:1:001MFJA25:O:4,"City Centre",,1,C02,CBBO001-2,,
CB:CBBO001:1,CB:CBBO001:1:001MFJA25:O:5,CB:CBBO001:1:001MFJA25:O:5,"City Centre",,1,C03,CBBO001-2,,
CB:CBBO001:1,CB:CBBO001:1:001MFJA25:O:6,CB:CBBO001:1:001MFJA25:O:6,"City Centre",,1,C02,CBBO001-2,,
CB:CBBO001:1,CB:CBBO001:1:001MFJA25:O:7,CB:CBBO001:1:001MFJA25:O:7,"City Centre",,1,C03,CBBO001-2,,
CB:CBBO001:1,CB:CBBO001:1:001MFJA25:O:8,CB:CBBO001:1:001MFJA25:O:8,"City Centre",,1,C02,CBBO001-2,,
CB:CBBO001:1,CB:CBBO001:1:001MFJA25:O:9,CB:CBBO001:1:001MFJA25:O:9,"City Centre",,1,C03,CBBO001-2,,
CB:CBBO001:1,CB:CBBO001:1:001MFJA25:O:10,CB:CBBO001:1:001MFJA25:O:10,"City Centre",,1,C02,CBBO001-2,,
CB:CBBO001A:1A,CB:CBBO001A:1A:001MFJA25:O:11,CB:CBBO001A:1A:001MFJA25:O:11,"City Centre",,1,S14,CBBO001A-1,,
CB:CBBO001A:1A,CB:CBBO001A:1A:001MFJA25:O:12,CB:CBBO001A:1A:001MFJA25:O:12,"City Centre",,1,C04,CBBO001A-2,,
CB:CBBO001A:1A,CB:CBBO001A:1A:001MFJA25:O:13,CB:CBBO001A:1A:001MFJA25:O:13,"City Centre",,1,E12,CBBO001A-1,,
CB:CBBO001:1,CB:CBBO001:1:001MFJA25:O:14,CB:CBBO001:1:001MFJA25:O:14,"City Centre",,1,S14,CBBO001-2,,
CB:CBBO001A:1A,CB:CBBO001A:1A:001MFJA25:O:15,CB:CBBO001A:1A:001MFJA25:O:15,"City Centre",,1,E08,CBBO001A-1,,
CB:CBBO001:1,CB:CBBO001:1:001MFJA25:O:16,CB:CBBO001:1:001MFJA25:O:16,"City Centre",,1,C04,CBBO001-2,,
CB:CBBO001:1,CB:CBBO001:1:001MFJA25:O:17,CB:CBBO001:1:001MFJA25:O:17,"City Centre",,1,J02,CBBO001-2,,
CB:CBBO001:1,CB:CBBO001:1:001MFJA25:O:18,CB:CBBO001:1:001MFJA25:O:18,"City Centre",,1,S14,CBBO001-2,,
CB:CBBO001:1,CB:CBBO001:1:001SAJA25:O:1,CB:CBBO001:1:001SAJA25:O:1,"City Centre",,1,C51,CBBO001-1,,
CB:CBBO001:1,CB:CBBO001:1:001SAJA25:O:2,CB:CBBO001:1:001SAJA25:O:2,"City Centre",,1,C52,CBBO001-2,,
CB:CBBO001:1,CB:CBBO001:1:001SAJA25:O:3,CB:CBBO001:1:001SAJA25:O:3,"City Centre",,1,C53,CBBO001-2,,
CB:CBBO001:1,CB:CBBO001:1:001SAJA25:O:4,CB:CBBO001:1:001SAJA25:O:4,"City Centre",,1,C52,CBBO001-2,,
CB:CBBO001:1,CB:CBBO001:1:001SAJA25:O:5,CB:CBBO001:1:001SAJA25:O:5,"City Centre",,1,C53,CBBO001-2,,
CB:CBBO001:1,CB:CBBO001:1:001SAJA25:O:6,CB:CBBO001:1:001SAJA25:O:6,"City Centre",,1,C52,CBBO001-2,,
CB:CBBO001:1,CB:CBBO001:1:001SAJA25:O:7,CB:CBBO001:1:001SAJA25:O:7,"City Centre",,1,C53,CBBO001-2,,
CB:CBBO001:1,CB:CBBO001:1:001SAJA25:O:8,CB:CBBO001:1:001SAJA25:O:8,"City Centre",,1,C52,CBBO001-2,,
CB:CBBO001:1,CB:CBBO001:1:001SAJA25:O:9,CB:CBBO001:1:001SAJA25:O:9,"City Centre",,1,C53,CBBO001-2,,
CB:CBBO001:1,CB:CBBO001:1:001SAJA25:O:10,CB:CBBO001:1:001SAJA25:O:10,"City Centre",,1,C52,CBBO001-2,,
CB:CBBO001:1,CB:CBBO001:1:001SAJA25:O:11,CB:CBBO001:1:001SAJA25:O:11,"City Centre",,1,C53,CBBO001-2,,
CB:CBBO001:1,CB:CBBO001:1:001SAJA25:O:12,CB:CBBO001:1:001SAJA25:O:12,"City Centre",,1,C52,CBBO001-2,,
CB:CBCO002A:2A,CB:CBCO002A:2A:002MFJA25:O:1,CB:CBCO002A:2A:002MFJA25:O:1,"Wentloog Bus. Pk.",,1,E03,CBCO002A-1,,
CB:CBCO002:2,CB:CBCO002:2:002MFJA25:O:2,CB:CBCO002:2:002MFJA25:O:2,"City Centre",,1,C01,CBCO002-1,,
CB:CBCO002:2,CB:CBCO002:2:002MFJA25:O:3,CB:CBCO002:2:002MFJA25:O:3,"City Centre",,1,C03,CBCO002-1,,
CB:CBCO002A:2A,CB:CBCO002A:2A:002MFJA25:O:4,CB:CBCO002A:2A:002MFJA25:O:4,"Wentloog Bus. Pk.",,1,E06,CBCO002A-1,,
CB:CBCO002:2,CB:CBCO002:2:002MFJA25:O:5,CB:CBCO002:2:002MFJA25:O:5,"City Centre",,1,C04,CBCO002-1,,
